,title,views,description,likes,date
145,ROOOM APP (75),19.0,ROOOM est une application qui aide les participants d’un même événement festif à créer plus facilement des relations entre eux.- Projet porté par Alexandre d...,3.0,03-25
146,MA PETITE MAIL D'ÉVEIL (37),353.0,"Ma Petite Maille d'Éveil propose des bouteilles sensorielles made in France, écologique et respectueuses de l'environnement.- Projet porté par Laurie Verhels...",78.0,03-25
147,VITA LIVE PRO (94),369.0,VITA LIVE PRO est une plateforme web et mobile qui met en relation des résidents en EHPAD et des passionnés à proximité pour faire des activités divers et va...,104.0,03-25
148,MON OUTFIT (33),136.0,"Mon Outfit se veut actrice sociale à travers l'habillement pour un public négligé par les préjugés de la société, en les aidant dans leurs insertion personne...",41.0,03-25
149,SENSOBOX (78),14.0,SENSOBOX éveille les sens au travers d'un choix d'activités sensorielles insolites à vivre en solo ou à deux à Paris et Bordeaux aux côtés d'experts passionn...,0.0,03-25
150,JANE (44),21.0,JANE est une plateforme permettant de diminuer la facture énergétique des collectivités en distribuant leur surplus de production à leur bâtiments communaux ...,1.0,03-25
151,PASSIFLORA APP (44),518.0,PASSIFLORA APP est une application qui informe et soutient les personnes atteintes de phobie scolaire ainsi que leur entourage vers le chemin de la guérison....,134.0,03-25
152,COBALT CONTRACEPTION (78),429.0,"COBALT CONTRACEPTION souhaite mettre sur le marché une contraception masculine naturelle, réversible et non-invasive grâce à un boxer de contraception mascul...",108.0,03-25
153,MAISON DÉMESURE (24),182.0,MAISON DÉMESURE est un bureau d'étude qui va accompagner des créateurs/créatrices pour développer leur collection de lingerie. Ils proposent un accompagnemen...,30.0,03-25
154,QUELYS (31),15.0,QUELYS a pour vocation d'accompagner l'humain & l'entreprise vers la mise en place d'un fonctionnement managérial innovant en complément de l'apport de conse...,2.0,03-25
155,TRACKPOINT (75),256.0,"TRACKPOINT a pour mission de faire de la glisse qu’une partie de plaisir. Aide à la planification et à l’organisation, TrackPoint s’engage à libérer la charg...",70.0,03-25
156,OSAM (69),521.0,"OSAM est une ligne textile vélo urbain permettant aux cyclistes de se déplacer en étant au sec, au chaud, visible et élégants. En d'autres termes : ne plus f...",175.0,03-25
157,MEETIT (13),21.0,MEETIT est une application qui permet de réduire le gaspillage alimentaire et améliore son pouvoir d’achat en proposant de récupérer à manger des surplus de ...,5.0,03-25
